Timestamp,AsOf,Location,Permits,Spots_Available,Vacancy_Enabled
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,2 Innovation Walk (N1) L1,Red,159,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,3 Alliance Lane (W1),Blue,28,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,30 Ancora Imparo Way (S1),Yellow / Green / Orange,0,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,20 Ancora Imparo Way (S2) P1-P4,Red,357,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,20 Ancora Imparo Way (S2) P1,Green,24,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,52 Scenic Blvd (SE1),Red / Orange,168,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,54 Scenic Blvd (SE2),Blue,12,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,64 Scenic Blvd (SE3),Visitor,307,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,60 Scenic Blvd (SE4),Blue,561,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,62 Scenic Blvd (SE5),Blue,148,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,133 Wellington Rd (OC1),Visitor,0,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"N1 - L2, 2 Innovation Walk",Blue,332,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"N1 - L3, 2 Innovation Walk",Blue,594,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"N1 - L4, 2 Innovation Walk",Blue,630,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"N1 - L5, 2 Innovation Walk",Blue,630,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"Sth East 4 L1 (SE4), 60 Scenic Blvd",Blue,153,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,"Sth East 4 L2 (SE4), 60 Scenic Blvd",Blue,235,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Northern,Blue,2142,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Northern,Red,242,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Northern,Yellow,17,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Northern,Green,4,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Northern,Blue,28,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,Visitor,307,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,Blue,721,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,Red,357,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,Yellow,0,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,Green,0,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,Southern,None,0,False
2026-08-20 23:11:57,21/08/2026 09:10:19 AM,10 Research Way (N1) Gnd,Orange,18,True
2026-08-20 23:11:57,21/08/2026 09:10:19 AM,10 Research Way (N1) Gnd,Red,25,True
